No.;Title;Author;Rating
1;Eat, Pray, Love;Elizabeth Gilbert;3.61 avg rating — 1,687,987 ratings
2;Ugly Love;Colleen Hoover;4.11 avg rating — 1,442,327 ratings
3;The Love Hypothesis;Ali Hazelwood;4.19 avg rating — 1,111,139 ratings
4;To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1);Jenny Han;4.05 avg rating — 819,176 ratings
5;The Spanish Love Deception (Spanish Love Deception, #1);Elena  Armas;3.87 avg rating — 563,353 ratings
6;Love and Other Words;Christina Lauren;4.31 avg rating — 399,654 ratings
7;Love in the Time of Cholera;Gabriel García Márquez;3.93 avg rating — 484,069 ratings
8;Twisted Love (Twisted, #1);Ana Huang;3.75 avg rating — 460,465 ratings
9;One True Loves;Taylor Jenkins Reid;4.08 avg rating — 342,380 ratings
10;The Lovely Bones;Alice Sebold;3.85 avg rating — 2,280,333 ratings
11;P.S. I Still Love You (To All the Boys I've Loved Before, #2);Jenny Han;4.03 avg rating — 349,419 ratings
12;Marley and Me: Life and Love With the World's Worst Dog;John Grogan;4.14 avg rating — 465,037 ratings
13;Love on the Brain;Ali Hazelwood;3.95 avg rating — 302,723 ratings
14;P.S. I Love You (P.S. I Love You, #1);Cecelia Ahern;4.03 avg rating — 373,280 ratings
15;Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead;Brené Brown;4.29 avg rating — 197,459 ratings
16;Redeeming Love;Francine Rivers;4.51 avg rating — 297,598 ratings
17;From Lukov with Love;Mariana Zapata;4.28 avg rating — 208,622 ratings
18;Everything I Know About Love;Dolly Alderton;4.07 avg rating — 186,562 ratings
19;The Viscount Who Loved Me (Bridgertons, #2);Julia Quinn;4.03 avg rating — 309,498 ratings
20;The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;4.27 avg rating — 400,531 ratings
